Date,Value,quarter,month,weekofyear,year
2000-10-08,44.72,4,10,40,2000
2000-10-09,45.56,4,10,41,2000
2000-10-10,46.66,4,10,41,2000
2000-10-11,46.88,4,10,41,2000
2000-10-12,47.06,4,10,41,2000
2000-10-13,45.25,4,10,41,2000
2000-10-14,45.25,4,10,41,2000
2000-10-15,45.25,4,10,41,2000
2000-10-16,43.91,4,10,42,2000
2000-10-17,43.91,4,10,42,2000
2000-10-18,43.28,4,10,42,2000
2000-10-19,43.25,4,10,42,2000
2000-10-20,44.22,4,10,42,2000
2000-10-21,44.22,4,10,42,2000
2000-10-22,44.22,4,10,42,2000
2000-10-23,44.53,4,10,43,2000
2000-10-24,43.38,4,10,43,2000
2000-10-25,43.59,4,10,43,2000
2000-10-26,43.88,4,10,43,2000
2000-10-27,43.78,4,10,43,2000
2000-10-28,43.78,4,10,43,2000
2000-10-29,43.78,4,10,43,2000
2000-10-30,44.72,4,10,44,2000
2000-10-31,44.59,4,10,44,2000
2000-11-01,46.03,4,11,44,2000
2000-11-02,44.09,4,11,44,2000
2000-11-03,43.75,4,11,44,2000
2000-11-04,43.75,4,11,44,2000
2000-11-05,43.75,4,11,44,2000
2000-11-06,44.34,4,11,45,2000
2000-11-07,44.5,4,11,45,2000
2000-11-08,45.34,4,11,45,2000
2000-11-09,44.94,4,11,45,2000
2000-11-10,44.78,4,11,45,2000
2000-11-11,44.78,4,11,45,2000
2000-11-12,44.78,4,11,45,2000
2000-11-13,44.97,4,11,46,2000
2000-11-14,44.94,4,11,46,2000
2000-11-15,45.19,4,11,46,2000
2000-11-16,45.34,4,11,46,2000
2000-11-17,45.16,4,11,46,2000
2000-11-18,45.16,4,11,46,2000
2000-11-19,45.16,4,11,46,2000
2000-11-20,45.69,4,11,47,2000
2000-11-21,46.56,4,11,47,2000
2000-11-22,47.12,4,11,47,2000
2000-11-23,47.12,4,11,47,2000
2000-11-24,47.22,4,11,47,2000
2000-11-25,47.22,4,11,47,2000
2000-11-26,47.22,4,11,47,2000
2000-11-27,46.56,4,11,48,2000
2000-11-28,46.53,4,11,48,2000
2000-11-29,44.47,4,11,48,2000
2000-11-30,44.0,4,11,48,2000
2000-12-01,44.41,4,12,48,2000
2000-12-02,44.41,4,12,48,2000
2000-12-03,44.41,4,12,48,2000
2000-12-04,45.34,4,12,49,2000
2000-12-05,44.19,4,12,49,2000
2000-12-06,43.12,4,12,49,2000
2000-12-07,44.0,4,12,49,2000
2000-12-08,44.25,4,12,49,2000
2000-12-09,44.25,4,12,49,2000
2000-12-10,44.25,4,12,49,2000
2000-12-11,42.88,4,12,50,2000
2000-12-12,43.28,4,12,50,2000
2000-12-13,43.84,4,12,50,2000
2000-12-14,42.75,4,12,50,2000
2000-12-15,42.06,4,12,50,2000
2000-12-16,42.06,4,12,50,2000
2000-12-17,42.06,4,12,50,2000
2000-12-18,43.19,4,12,51,2000
2000-12-19,43.59,4,12,51,2000
2000-12-20,42.59,4,12,51,2000
2000-12-21,42.38,4,12,51,2000
2000-12-22,43.41,4,12,51,2000
2000-12-23,43.41,4,12,51,2000
2000-12-24,43.41,4,12,51,2000
2000-12-25,43.41,4,12,52,2000
2000-12-26,44.28,4,12,52,2000
2000-12-27,43.88,4,12,52,2000
2000-12-28,43.44,4,12,52,2000
2000-12-29,43.47,4,12,52,2000
2000-12-30,43.47,4,12,52,2000
2000-12-31,43.47,4,12,52,2000
2001-01-01,43.47,1,1,1,2001
2001-01-02,44.56,1,1,1,2001
2001-01-03,42.62,1,1,1,2001
2001-01-04,41.44,1,1,1,2001
2001-01-05,41.62,1,1,1,2001
2001-01-06,41.62,1,1,1,2001
2001-01-07,41.62,1,1,1,2001
2001-01-08,41.44,1,1,2,2001
2001-01-09,41.0,1,1,2,2001
2001-01-10,40.5,1,1,2,2001
2001-01-11,40.88,1,1,2,2001
2001-01-12,41.41,1,1,2,2001
2001-01-13,41.41,1,1,2,2001
2001-01-14,41.41,1,1,2,2001
2001-01-15,41.41,1,1,3,2001
2001-01-16,40.91,1,1,3,2001
2001-01-17,40.12,1,1,3,2001
2001-01-18,39.56,1,1,3,2001
2001-01-19,39.72,1,1,3,2001
2001-01-20,39.72,1,1,3,2001
2001-01-21,39.72,1,1,3,2001
2001-01-22,40.12,1,1,4,2001
2001-01-23,40.91,1,1,4,2001
2001-01-24,40.81,1,1,4,2001
2001-01-25,41.25,1,1,4,2001
2001-01-26,40.5,1,1,4,2001
2001-01-27,40.5,1,1,4,2001
2001-01-28,40.5,1,1,4,2001
2001-01-29,40.1,1,1,5,2001
2001-01-30,40.99,1,1,5,2001
2001-01-31,42.08,1,1,5,2001
2001-02-01,41.74,1,2,5,2001
2001-02-02,41.49,1,2,5,2001
2001-02-03,41.49,1,2,5,2001
2001-02-04,41.49,1,2,5,2001
2001-02-05,42.4,1,2,6,2001
2001-02-06,42.17,1,2,6,2001
2001-02-07,42.18,1,2,6,2001
2001-02-08,42.25,1,2,6,2001
2001-02-09,42.93,1,2,6,2001
2001-02-10,42.93,1,2,6,2001
2001-02-11,42.93,1,2,6,2001
2001-02-12,42.88,1,2,7,2001
2001-02-13,42.4,1,2,7,2001
2001-02-14,41.97,1,2,7,2001
2001-02-15,41.25,1,2,7,2001
2001-02-16,42.01,1,2,7,2001
2001-02-17,42.01,1,2,7,2001
2001-02-18,42.01,1,2,7,2001
2001-02-19,42.01,1,2,8,2001
2001-02-20,41.9,1,2,8,2001
2001-02-21,41.76,1,2,8,2001
2001-02-22,42.1,1,2,8,2001
2001-02-23,41.75,1,2,8,2001
2001-02-24,41.75,1,2,8,2001
2001-02-25,41.75,1,2,8,2001
2001-02-26,41.9,1,2,9,2001
2001-02-27,41.15,1,2,9,2001
